user_id,session_start_time,session_duration_min,active_period_label,avg_video_duration_sec,switch_frequency,content_emotion_score,content_type_keywords,repeated_viewing_ratio,skipped_intro_ratio,saved_to_favorites,3_day_total_watch_time,short_video_ratio,self_reported_goal,psych_state_label
U_ALT000,2025-06-12 10:05:00,13.6,morning,31.6,0.8,0.91,"['overstimulated', 'burnout symptoms', 'mental drain']",0.07,0.3,True,293.9,0.68,I want better balance,exhaustion
U_ALT001,2025-06-12 00:06:00,83.3,late_night,27.2,1.3,-0.13,"['compulsive scrolling', 'coffee addiction', 'sleep with phone']",0.01,0.81,True,316.5,0.63,I want to take control of my habits,dependency
U_ALT002,2025-06-12 06:10:00,49.1,morning,5.7,3.3,-0.21,"['war update', 'bad news', 'stock crash']",0.35,0.86,True,605.2,0.66,I need to relax my mind,anxious
U_ALT003,2025-06-12 21:31:00,77.4,night,31.9,1.3,0.8,"['no sleep', 'long work hours', 'power nap']",0.24,0.65,False,255.3,0.9,I want better balance,exhaustion
U_ALT004,2025-06-12 07:49:00,55.6,morning,30.0,3.2,-0.02,"['ignored calls', 'poor grades', 'cheat story']",0.05,0.62,True,334.0,0.71,I want to be more productive,guilt
U_ALT005,2025-06-12 06:48:00,66.7,morning,43.9,1.9,-0.11,"['constant refresh', ""can't stop"", 'coffee addiction']",0.31,0.73,True,300.0,0.62,I want to be more independent,dependency
U_ALT006,2025-06-12 17:06:00,50.0,afternoon,44.8,2.0,0.36,"['fear of missing out', 'coffee addiction', 'constant refresh']",0.23,0.65,True,555.9,0.56,I want to take control of my habits,dependency
U_ALT007,2025-06-12 18:46:00,71.5,night,51.9,3.4,-0.87,"['fatigue', 'power nap', 'stretch break']",0.29,0.74,True,533.2,0.72,I need rest,exhaustion
U_ALT008,2025-06-12 18:56:00,80.9,night,49.8,1.9,0.28,"['digital cling', 'sleep with phone', 'daily routine']",0.31,0.67,False,303.9,0.93,I want to be more independent,dependency
U_ALT009,2025-06-12 17:20:00,56.2,afternoon,64.8,1.8,-0.25,"['poor grades', 'failed test', 'bad habit']",0.1,0.29,True,604.4,0.7,I wish I had used time better,guilt
U_ALT010,2025-06-12 10:16:00,40.1,morning,60.6,1.9,-0.45,"['compulsive scrolling', 'coffee addiction', 'constant refresh']",0.06,0.84,False,392.0,0.93,I want to take control of my habits,dependency
U_ALT011,2025-06-12 07:22:00,13.1,morning,56.8,1.2,0.5,"['procrastination', 'poor grades', 'late work']",0.13,0.84,False,621.9,0.63,I wish I had used time better,guilt
U_ALT012,2025-06-12 02:36:00,48.9,late_night,16.0,2.8,-0.53,"['overstimulated', 'stretch break', 'no sleep']",0.27,0.64,False,298.1,0.79,I want better balance,exhaustion
U_ALT013,2025-06-12 08:25:00,50.8,morning,21.3,1.5,0.16,"['regret', 'procrastination', 'wasted time']",0.3,0.85,False,311.0,0.84,I want to be more productive,guilt
U_ALT014,2025-06-12 12:51:00,67.4,afternoon,23.4,1.3,0.23,"['happy ending', 'good news', 'surprise box']",0.23,0.42,True,549.5,0.97,I deserve this joy,reward
U_ALT015,2025-06-12 12:08:00,20.4,afternoon,28.5,3.1,-0.13,"['meme gold', 'surprise box', 'win prize']",0.07,0.74,True,471.6,0.61,I deserve this joy,reward
U_ALT016,2025-06-12 20:21:00,52.0,night,19.9,2.1,0.89,"['regret', 'overspending', 'poor grades']",0.23,0.28,True,390.6,0.76,I wish I had used time better,guilt
U_ALT017,2025-06-12 02:36:00,68.4,late_night,66.1,2.9,0.08,"['bad news', 'dystopia', 'market panic']",0.12,0.87,False,648.7,0.74,I need to relax my mind,anxious
U_ALT018,2025-06-12 12:49:00,63.8,afternoon,15.7,2.1,-0.47,"['check notifications', 'coffee addiction', 'sleep with phone']",0.13,0.35,False,493.1,0.55,I want to be more independent,dependency
U_ALT019,2025-06-12 03:49:00,29.3,late_night,34.5,3.1,-0.05,"['power nap', 'overstimulated', 'stretch break']",0.02,0.46,False,274.8,0.91,I need rest,exhaustion
U_ALT020,2025-06-12 15:27:00,48.4,afternoon,27.9,2.0,0.04,"['digital cling', ""can't stop"", 'coffee addiction']",0.24,0.75,True,270.8,0.89,I want to be more independent,dependency
U_ALT021,2025-06-12 03:28:00,46.8,late_night,59.5,3.1,0.89,"['crash nap', 'overstimulated', 'no sleep']",0.1,0.17,True,615.3,0.98,I need rest,exhaustion
U_ALT022,2025-06-12 02:58:00,33.1,late_night,8.8,1.1,0.82,"['missed goal', 'failed test', 'poor grades']",0.06,0.68,True,682.3,0.92,I wish I had used time better,guilt
U_ALT023,2025-06-12 07:13:00,72.8,morning,40.3,1.4,-0.75,"['bad habit', 'wasted time', 'cheat story']",0.19,0.73,True,325.7,0.74,I want to be more productive,guilt
U_ALT024,2025-06-12 09:31:00,42.0,morning,6.6,0.3,-0.09,"['poor grades', 'wasted time', 'failed test']",0.07,0.31,False,253.8,0.79,I wish I had used time better,guilt
U_ALT025,2025-06-12 23:10:00,63.0,night,6.2,0.8,0.43,"['sleep with phone', 'coffee addiction', 'digital cling']",0.09,0.85,False,659.5,0.62,I want to be more independent,dependency
