user_id,session_start_time,session_duration_min,active_period_label,avg_video_duration_sec,switch_frequency,content_emotion_score,content_type_keywords,repeated_viewing_ratio,skipped_intro_ratio,saved_to_favorites,3_day_total_watch_time,short_video_ratio,self_reported_goal,psych_state_label
U000,2025-06-11 14:03:00,44.2,afternoon,29.6,2.0,-0.98,"['vulnerability', 'crush', 'true story']",0.12,0.77,False,334.0,0.86,I feel tired but want to learn something,dependency
U001,2025-06-11 02:35:00,72.9,late_night,18.2,3.0,-0.25,"['pet video', 'nice edit', 'asmr']",0.04,0.51,True,555.0,0.91,I want to stop wasting time,reward
U002,2025-06-11 19:31:00,60.7,night,49.1,2.7,0.78,"['academic', 'explanation', 'brain tips']",0.13,0.35,False,348.6,0.64,I feel tired but want to learn something,guilt
U003,2025-06-11 03:56:00,80.0,late_night,42.4,1.6,-0.71,"['school hacks', 'coding', 'lecture']",0.18,0.68,True,398.8,0.88,I feel tired but want to learn something,guilt
U004,2025-06-11 02:20:00,64.7,late_night,47.0,2.0,0.74,"['short meme', 'unboxing', 'dancing']",0.26,0.34,True,579.6,0.74,I feel tired but want to learn something,reward
U005,2025-06-11 03:29:00,69.4,late_night,21.6,1.2,0.17,"['crazy moment', 'surprise', 'conflict']",0.27,0.62,False,513.7,0.75,I just want to relax a bit,anxious
U006,2025-06-11 09:51:00,54.8,morning,30.9,0.5,-0.53,"['dancing', 'music clip', 'food review']",0.25,0.22,False,227.7,0.92,I want to stay emotionally balanced,reward
U007,2025-06-11 15:01:00,41.1,afternoon,37.0,1.2,-0.26,"['dancing', 'pet video', 'food review']",0.2,0.28,True,598.5,0.88,I feel tired but want to learn something,reward
U008,2025-06-11 03:23:00,24.6,late_night,24.5,2.1,0.56,"['documentary', 'explanation', 'lecture']",0.13,0.22,False,462.7,0.85,I just want to relax a bit,guilt
U009,2025-06-11 15:33:00,88.8,afternoon,41.0,0.8,-0.4,"['gameplay', 'satisfying', 'dancing']",0.27,0.35,True,469.0,0.69,I want to stay emotionally balanced,reward
U010,2025-06-11 22:52:00,32.7,night,18.5,1.2,-0.09,"['self reflection', 'minimalism', 'sleep aid']",0.25,0.34,False,335.3,0.62,I feel tired but want to learn something,exhaustion
U011,2025-06-11 06:21:00,17.2,morning,55.0,1.8,0.59,"['short meme', 'cool trick', 'music clip']",0.12,0.55,True,403.1,0.78,I want to stay emotionally balanced,reward
U012,2025-06-11 07:34:00,47.6,morning,23.8,2.5,0.33,"['pop song', 'asmr', 'gameplay']",0.07,0.37,False,304.0,0.94,I want to stop wasting time,reward
U013,2025-06-11 20:06:00,21.2,night,26.7,1.7,-0.58,"['reaction', 'surprise', 'chaos']",0.15,0.42,False,479.5,0.64,I feel tired but want to learn something,anxious
U014,2025-06-11 15:49:00,10.7,afternoon,59.5,1.1,0.57,"['crazy moment', 'trending', 'chaos']",0.29,0.74,False,539.7,0.77,I feel tired but want to learn something,anxious
U015,2025-06-11 13:41:00,41.8,afternoon,15.1,2.7,0.85,"['sports', 'dancing', 'fun fact']",0.28,0.4,False,560.5,0.78,I want to stop wasting time,reward
U016,2025-06-11 21:44:00,66.0,night,52.2,1.6,0.48,"['satisfying', 'hack', 'travel vlog']",0.13,0.35,True,293.8,0.73,I want to stop wasting time,reward
U017,2025-06-11 18:35:00,19.2,night,41.0,2.4,-0.39,"['dancing', 'cool trick', 'art process']",0.14,0.77,True,447.3,0.89,I want to stop wasting time,reward
U018,2025-06-11 15:20:00,75.3,afternoon,47.1,1.9,-0.43,"['slow vlog', 'sunset', 'no drama']",0.0,0.64,False,288.5,0.75,I want to focus on studying,exhaustion
U019,2025-06-11 16:42:00,45.5,afternoon,45.7,2.3,0.23,"['jokes', 'hack', 'gameplay']",0.01,0.52,True,297.3,0.61,I just want to relax a bit,reward
U020,2025-06-11 19:52:00,58.4,night,42.3,0.6,-0.26,"['school hacks', 'lecture', 'online course']",0.26,0.73,False,420.5,0.87,I feel tired but want to learn something,guilt
U021,2025-06-11 16:58:00,31.0,afternoon,32.7,2.6,-0.62,"['comedy', 'fast edit', 'meme']",0.17,0.72,True,210.5,0.83,I want to stay emotionally balanced,anxious
U022,2025-06-11 06:11:00,31.0,morning,59.2,2.4,0.91,"['intimacy', 'confession', 'jealousy']",0.21,0.63,True,572.0,0.9,I want to focus on studying,dependency
U023,2025-06-11 06:44:00,31.1,morning,19.2,0.7,-0.1,"['quiet', 'minimalism', 'well-being']",0.17,0.36,True,491.2,0.91,I feel tired but want to learn something,exhaustion
U024,2025-06-11 13:39:00,37.4,afternoon,24.8,2.5,0.84,"['cooking calmly', 'quiet', 'study with me']",0.2,0.39,False,305.4,0.77,I want to focus on studying,exhaustion
U025,2025-06-11 23:50:00,25.5,night,19.7,1.1,-0.91,"['lecture', 'homework', 'how to']",0.13,0.29,False,310.6,0.93,I want to focus on studying,guilt
U026,2025-06-11 09:47:00,50.1,morning,43.6,2.1,-0.31,"['no drama', 'well-being', 'study with me']",0.27,0.68,False,200.1,0.85,I want to stay emotionally balanced,exhaustion
U027,2025-06-11 11:05:00,60.4,morning,48.2,2.7,-0.14,"['nice edit', 'cool trick', 'fun fact']",0.1,0.35,True,548.4,0.86,I just want to relax a bit,reward
U028,2025-06-11 03:43:00,71.1,late_night,31.3,2.0,-0.28,"['flirting', 'cute couple', 'confession']",0.09,0.3,True,577.5,0.84,I want to focus on studying,dependency
U029,2025-06-11 22:54:00,35.0,night,27.7,1.5,-0.01,"['self reflection', 'calm voice', 'sleep aid']",0.28,0.77,True,243.1,0.91,I just want to relax a bit,exhaustion
