user_id,session_start_time,session_duration_min,active_period_label,avg_video_duration_sec,switch_frequency,content_emotion_score,content_type_keywords,repeated_viewing_ratio,skipped_intro_ratio,saved_to_favorites,3_day_total_watch_time,short_video_ratio,self_reported_goal,psych_state_label
U_THIRD000,2025-06-13 22:04:00,61.0,night,70.7,0.6,-0.64,"['wifi need', 'routine doom', 'endless scroll']",0.4,0.32,False,561.3,0.97,I want to reduce my reliance on content,dependency
U_THIRD001,2025-06-13 07:15:00,58.9,morning,49.9,3.2,0.31,"['scary fact', 'danger trend', 'breaking alert']",0.14,0.27,False,258.6,0.65,I feel overwhelmed by bad content,anxious
U_THIRD002,2025-06-13 06:38:00,94.4,morning,67.3,2.9,-0.46,"['loss highlight', 'could’ve done better', 'missed opportunity']",0.12,0.26,True,177.9,0.68,I hope to make better choices,guilt
U_THIRD003,2025-06-13 22:34:00,76.9,night,34.9,1.2,0.5,"['finally success', 'motivation win', 'goal achieved']",0.21,0.34,False,462.3,0.89,I deserve to celebrate,reward
U_THIRD004,2025-06-13 09:22:00,84.8,morning,62.9,3.0,0.75,"['routine doom', 'endless scroll', 'loop habit']",0.13,0.34,True,439.6,0.87,I want to gain control of my scrolling,dependency
U_THIRD005,2025-06-13 12:38:00,70.3,afternoon,45.4,0.8,-0.54,"['crash reel', 'overstim edit', 'overload speech']",0.25,0.58,True,508.3,0.52,I need more mental rest,exhaustion
U_THIRD006,2025-06-13 20:23:00,36.5,night,66.9,0.7,0.71,"['check phone', 'routine doom', 'habitual checking']",0.16,0.82,False,550.2,0.53,I want to gain control of my scrolling,dependency
U_THIRD007,2025-06-13 19:49:00,53.7,night,20.6,2.2,-0.04,"['scary fact', 'stressful scene', 'danger trend']",0.32,0.36,True,376.8,0.8,I want to slow down my mind,anxious
U_THIRD008,2025-06-13 10:15:00,76.4,morning,74.8,3.3,-0.56,"['responsibility talk', 'regret stories', 'disappointing moment']",0.38,0.41,True,308.6,0.91,I want to turn regret into action,guilt
U_THIRD009,2025-06-13 08:53:00,15.3,morning,48.5,0.6,-0.87,"['paranoia news', 'emergency warning', 'danger trend']",0.34,0.17,False,489.5,0.7,I want to slow down my mind,anxious
U_THIRD010,2025-06-13 22:23:00,80.9,night,12.2,2.3,0.67,"[""can't stop watching"", 'loop habit', 'FOMO wave']",0.13,0.62,False,740.1,0.74,I want to gain control of my scrolling,dependency
U_THIRD011,2025-06-13 21:50:00,83.9,night,36.7,0.6,-0.72,"['check phone', 'endless scroll', 'FOMO wave']",0.36,0.79,False,239.1,0.6,I want to gain control of my scrolling,dependency
U_THIRD012,2025-06-13 17:22:00,59.5,afternoon,36.5,3.7,0.36,"['scary fact', 'paranoia news', 'breaking alert']",0.1,0.64,False,628.7,0.72,I want to slow down my mind,anxious
U_THIRD013,2025-06-13 13:43:00,60.6,afternoon,65.9,1.7,-0.21,"['disappointing moment', 'regret stories', 'bad ending']",0.07,0.86,True,682.9,0.81,I want to turn regret into action,guilt
U_THIRD014,2025-06-13 16:51:00,20.8,afternoon,60.8,1.7,-0.65,"['routine doom', 'loop habit', 'wifi need']",0.19,0.57,False,506.6,0.61,I want to reduce my reliance on content,dependency
U_THIRD015,2025-06-13 14:24:00,75.4,afternoon,17.1,2.1,0.07,"['work burnout', 'sleep vlog', 'fatigue diary']",0.03,0.54,False,189.0,0.87,I need more mental rest,exhaustion
U_THIRD016,2025-06-13 00:44:00,87.4,late_night,35.8,1.6,-0.97,"['wifi need', 'autoplay trap', 'FOMO wave']",0.26,0.8,True,462.4,0.82,I want to reduce my reliance on content,dependency
U_THIRD017,2025-06-13 07:13:00,82.9,morning,74.2,0.4,-0.34,"['sleep vlog', 'crash reel', 'work burnout']",0.09,0.69,False,350.3,0.94,I feel drained and need space,exhaustion
U_THIRD018,2025-06-13 02:51:00,99.4,late_night,12.9,3.6,-0.16,"['emergency warning', 'fear trigger', 'stressful scene']",0.08,0.75,True,359.1,0.67,I feel overwhelmed by bad content,anxious
U_THIRD019,2025-06-13 19:17:00,20.7,night,23.5,2.8,-0.7,"['happy scream', 'goal achieved', 'proud moment']",0.06,0.43,False,500.2,0.57,I want to reward myself with positivity,reward
U_THIRD020,2025-06-13 11:49:00,76.0,morning,67.9,1.4,0.82,"['stressful scene', 'emergency warning', 'paranoia news']",0.18,0.89,True,405.0,0.77,I want to slow down my mind,anxious
U_THIRD021,2025-06-13 03:29:00,15.6,late_night,6.0,0.9,0.04,"['feel good story', 'goal achieved', 'reward day']",0.34,0.39,True,313.9,0.9,I deserve to celebrate,reward
U_THIRD022,2025-06-13 16:31:00,67.7,afternoon,72.1,3.2,-0.21,"['bad ending', 'embarrassing fail', 'disappointing moment']",0.08,0.35,True,597.6,0.88,I want to turn regret into action,guilt
U_THIRD023,2025-06-13 02:35:00,77.4,late_night,21.1,0.7,0.26,"['celebration edit', 'happy scream', 'reward day']",0.15,0.38,False,429.7,0.83,I deserve to celebrate,reward
U_THIRD024,2025-06-13 05:16:00,45.1,late_night,22.9,1.9,0.56,"['check phone', 'routine doom', 'habitual checking']",0.19,0.15,True,726.7,0.65,I want to reduce my reliance on content,dependency
U_THIRD025,2025-06-13 22:35:00,56.0,night,60.8,0.7,0.57,"['crash reel', 'sleep vlog', 'overload speech']",0.36,0.72,False,563.8,0.68,I feel drained and need space,exhaustion
U_THIRD026,2025-06-13 01:43:00,48.2,late_night,51.4,0.5,0.24,"['sleep vlog', 'overstim edit', 'work burnout']",0.36,0.5,False,223.1,0.9,I need more mental rest,exhaustion
U_THIRD027,2025-06-13 07:12:00,9.5,morning,18.9,2.2,-0.45,"['missed opportunity', 'loss highlight', 'bad ending']",0.32,0.39,False,658.3,0.89,I want to turn regret into action,guilt
U_THIRD028,2025-06-13 15:51:00,95.2,afternoon,11.6,2.0,-0.56,"['loss highlight', 'could’ve done better', 'responsibility talk']",0.01,0.83,True,200.3,0.61,I hope to make better choices,guilt
U_THIRD029,2025-06-13 02:52:00,19.2,late_night,5.1,0.9,-0.38,"['paranoia news', 'horror edit', 'dark theory']",0.1,0.76,False,336.0,0.86,I want to slow down my mind,anxious
U_THIRD030,2025-06-13 20:34:00,74.2,night,63.1,2.5,-0.3,"['thankful post', 'celebration edit', 'happy scream']",0.3,0.8,True,504.0,0.88,I deserve to celebrate,reward
U_THIRD031,2025-06-13 08:38:00,36.9,morning,65.0,3.4,0.81,"['daily addiction', 'check phone', 'routine doom']",0.32,0.63,True,206.1,0.55,I want to gain control of my scrolling,dependency
U_THIRD032,2025-06-13 05:26:00,13.9,late_night,11.8,2.5,-0.67,"['fear trigger', 'paranoia news', 'crisis footage']",0.05,0.28,False,633.1,0.9,I feel overwhelmed by bad content,anxious
U_THIRD033,2025-06-13 06:35:00,49.2,morning,26.9,2.9,0.07,"['napping cat', 'work burnout', 'overstim edit']",0.24,0.57,False,713.5,0.62,I need more mental rest,exhaustion
U_THIRD034,2025-06-13 23:58:00,99.5,night,15.8,1.4,-0.54,"['habitual checking', 'daily addiction', 'routine doom']",0.24,0.66,True,719.3,0.56,I want to reduce my reliance on content,dependency
U_THIRD035,2025-06-13 13:49:00,69.8,afternoon,60.8,3.5,-0.64,"['danger trend', 'stressful scene', 'scary fact']",0.37,0.56,False,357.4,0.56,I feel overwhelmed by bad content,anxious
U_THIRD036,2025-06-13 11:08:00,41.2,morning,18.8,1.3,-0.56,"['finally success', 'happy scream', 'feel good story']",0.36,0.57,False,742.8,0.76,I deserve to celebrate,reward
U_THIRD037,2025-06-13 19:44:00,78.2,night,55.7,2.7,-0.14,"['embarrassing fail', 'loss highlight', 'responsibility talk']",0.12,0.5,False,392.5,0.64,I hope to make better choices,guilt
U_THIRD038,2025-06-13 03:10:00,20.9,late_night,24.3,0.6,-0.65,"['could’ve done better', 'disappointing moment', 'shame reel']",0.1,0.33,True,664.1,0.63,I hope to make better choices,guilt
U_THIRD039,2025-06-13 02:21:00,13.3,late_night,74.2,2.9,-0.8,"['routine doom', 'FOMO wave', 'daily addiction']",0.15,0.5,True,580.7,0.72,I want to gain control of my scrolling,dependency
U_THIRD040,2025-06-13 22:58:00,11.2,night,47.6,2.7,-0.22,"['loop habit', 'routine doom', 'daily addiction']",0.21,0.52,False,212.5,0.78,I want to reduce my reliance on content,dependency
U_THIRD041,2025-06-13 07:56:00,10.6,morning,71.8,0.5,-0.61,"['FOMO wave', 'habitual checking', 'daily addiction']",0.03,0.29,False,272.9,0.77,I want to reduce my reliance on content,dependency
U_THIRD042,2025-06-13 20:31:00,92.5,night,54.2,2.2,-0.7,"['finally success', 'goal achieved', 'thankful post']",0.14,0.67,True,259.4,0.96,I want to reward myself with positivity,reward
U_THIRD043,2025-06-13 03:51:00,53.7,late_night,5.1,1.0,0.37,"['overstim edit', 'fatigue diary', 'overload speech']",0.12,0.72,True,283.7,0.51,I need more mental rest,exhaustion
U_THIRD044,2025-06-13 17:15:00,25.0,afternoon,43.5,3.2,-0.85,"['habitual checking', 'wifi need', 'autoplay trap']",0.27,0.59,False,429.0,0.75,I want to gain control of my scrolling,dependency
U_THIRD045,2025-06-13 05:56:00,35.4,late_night,17.7,1.4,-0.97,"['wifi need', 'check phone', 'FOMO wave']",0.31,0.86,True,647.6,0.95,I want to reduce my reliance on content,dependency
U_THIRD046,2025-06-13 06:00:00,67.8,morning,53.8,2.2,0.11,"['habitual checking', 'routine doom', ""can't stop watching""]",0.34,0.51,True,329.1,0.93,I want to reduce my reliance on content,dependency
U_THIRD047,2025-06-13 19:30:00,39.0,night,72.2,2.2,-0.55,"['scary fact', 'emergency warning', 'dark theory']",0.26,0.87,True,304.8,0.6,I want to slow down my mind,anxious
U_THIRD048,2025-06-13 00:31:00,17.7,late_night,34.2,0.5,-0.49,"['FOMO wave', 'loop habit', ""can't stop watching""]",0.29,0.84,True,433.8,0.55,I want to reduce my reliance on content,dependency
U_THIRD049,2025-06-13 14:43:00,21.7,afternoon,5.7,1.4,-0.86,"['crash reel', 'work burnout', 'zoning out']",0.11,0.89,True,310.2,0.82,I need more mental rest,exhaustion
U_THIRD050,2025-06-13 20:25:00,62.7,night,33.0,2.1,-0.31,"['habitual checking', 'routine doom', 'endless scroll']",0.17,0.38,True,406.4,0.6,I want to reduce my reliance on content,dependency
U_THIRD051,2025-06-13 22:05:00,43.9,night,29.0,2.7,-0.2,"['fear trigger', 'dark theory', 'scary fact']",0.12,0.85,True,489.5,0.9,I feel overwhelmed by bad content,anxious
U_THIRD052,2025-06-13 11:54:00,36.5,morning,9.7,1.2,0.46,"['habitual checking', 'endless scroll', 'daily addiction']",0.27,0.6,False,213.1,0.9,I want to gain control of my scrolling,dependency
U_THIRD053,2025-06-13 12:06:00,56.5,afternoon,19.6,2.7,-0.28,"['disappointing moment', 'responsibility talk', 'embarrassing fail']",0.17,0.19,True,554.6,0.92,I want to turn regret into action,guilt
U_THIRD054,2025-06-13 04:27:00,51.2,late_night,34.2,2.4,0.11,"['embarrassing fail', 'bad ending', 'disappointing moment']",0.07,0.29,True,591.2,0.81,I want to turn regret into action,guilt
U_THIRD055,2025-06-13 18:21:00,37.7,night,67.6,1.5,-0.6,"['danger trend', 'horror edit', 'dark theory']",0.18,0.24,True,710.6,0.97,I want to slow down my mind,anxious
U_THIRD056,2025-06-13 21:00:00,60.1,night,44.9,3.2,-0.98,"['motivation win', 'feel good story', 'proud moment']",0.13,0.64,False,608.9,0.91,I want to reward myself with positivity,reward
U_THIRD057,2025-06-13 15:13:00,28.1,afternoon,68.5,2.5,0.94,"['reward day', 'motivation win', 'goal achieved']",0.09,0.87,False,328.7,0.84,I want to reward myself with positivity,reward
U_THIRD058,2025-06-13 11:07:00,31.2,morning,10.2,1.6,0.49,"['zoning out', 'work burnout', 'sleep vlog']",0.18,0.61,False,504.4,0.98,I feel drained and need space,exhaustion
U_THIRD059,2025-06-13 02:14:00,8.8,late_night,48.3,2.5,-0.52,"['napping cat', 'overstim edit', 'overload speech']",0.26,0.67,False,557.6,0.64,I need more mental rest,exhaustion
U_THIRD060,2025-06-13 04:15:00,60.0,late_night,69.9,1.8,0.35,"['stressful scene', 'fear trigger', 'scary fact']",0.17,0.69,False,687.0,0.83,I want to slow down my mind,anxious
U_THIRD061,2025-06-13 19:07:00,34.5,night,70.2,1.1,0.06,"['endless scroll', 'autoplay trap', 'routine doom']",0.2,0.27,True,597.3,0.89,I want to gain control of my scrolling,dependency
U_THIRD062,2025-06-13 17:06:00,33.1,afternoon,22.8,2.0,0.91,"['loop habit', 'FOMO wave', 'endless scroll']",0.15,0.46,False,643.4,0.84,I want to gain control of my scrolling,dependency
U_THIRD063,2025-06-13 00:35:00,50.6,late_night,13.2,3.8,-0.96,"['routine doom', ""can't stop watching"", 'check phone']",0.2,0.79,False,660.8,0.56,I want to gain control of my scrolling,dependency
U_THIRD064,2025-06-13 16:21:00,29.9,afternoon,74.6,0.5,0.49,"['horror edit', 'crisis footage', 'emergency warning']",0.13,0.86,True,282.8,0.52,I feel overwhelmed by bad content,anxious
U_THIRD065,2025-06-13 20:23:00,80.5,night,34.4,2.7,-0.21,"['FOMO wave', 'loop habit', 'wifi need']",0.07,0.6,False,341.5,0.86,I want to gain control of my scrolling,dependency
U_THIRD066,2025-06-13 07:25:00,74.3,morning,44.1,1.4,-0.18,"['horror edit', 'stressful scene', 'crisis footage']",0.06,0.16,True,271.5,0.73,I want to slow down my mind,anxious
U_THIRD067,2025-06-13 17:37:00,66.0,afternoon,26.6,2.5,0.68,"['paranoia news', 'danger trend', 'emergency warning']",0.19,0.23,False,273.5,0.79,I feel overwhelmed by bad content,anxious
U_THIRD068,2025-06-13 10:46:00,21.4,morning,36.8,3.6,-0.4,"['FOMO wave', 'loop habit', ""can't stop watching""]",0.33,0.25,True,626.1,0.98,I want to reduce my reliance on content,dependency
U_THIRD069,2025-06-13 06:22:00,45.2,morning,44.8,3.0,0.08,"['overload speech', 'eye strain', 'work burnout']",0.23,0.77,False,278.4,0.95,I feel drained and need space,exhaustion
U_THIRD070,2025-06-13 07:04:00,69.9,morning,58.8,0.7,0.58,"['zoning out', 'overload speech', 'work burnout']",0.09,0.37,True,238.5,0.58,I feel drained and need space,exhaustion
U_THIRD071,2025-06-13 23:59:00,29.5,night,30.6,3.5,-0.32,"['paranoia news', 'dark theory', 'emergency warning']",0.16,0.42,True,543.7,0.52,I feel overwhelmed by bad content,anxious
U_THIRD072,2025-06-13 14:12:00,17.3,afternoon,70.8,2.5,-0.48,"['goal achieved', 'proud moment', 'thankful post']",0.07,0.74,True,738.2,0.81,I want to reward myself with positivity,reward
U_THIRD073,2025-06-13 13:07:00,71.0,afternoon,23.9,1.4,-1.0,"['guilt meme', 'embarrassing fail', 'shame reel']",0.39,0.46,True,214.0,0.78,I hope to make better choices,guilt
U_THIRD074,2025-06-13 15:17:00,14.9,afternoon,70.2,3.4,0.31,"['endless scroll', 'habitual checking', 'check phone']",0.25,0.42,False,429.9,0.72,I want to reduce my reliance on content,dependency
U_THIRD075,2025-06-13 20:55:00,84.4,night,31.8,2.7,-0.03,"['goal achieved', 'motivation win', 'feel good story']",0.0,0.82,True,504.1,0.68,I want to reward myself with positivity,reward
U_THIRD076,2025-06-13 23:36:00,87.0,night,28.5,0.6,1.0,"['stressful scene', 'scary fact', 'emergency warning']",0.39,0.68,True,255.0,0.77,I want to slow down my mind,anxious
U_THIRD077,2025-06-13 17:44:00,32.9,afternoon,69.6,1.7,-0.14,"['feel good story', 'goal achieved', 'reward day']",0.34,0.85,False,457.3,0.56,I want to reward myself with positivity,reward
U_THIRD078,2025-06-13 00:59:00,85.0,late_night,57.7,1.5,0.53,"['regret stories', 'loss highlight', 'disappointing moment']",0.31,0.7,True,610.3,0.92,I hope to make better choices,guilt
U_THIRD079,2025-06-13 20:26:00,52.2,night,44.7,2.9,0.11,"['embarrassing fail', 'regret stories', 'guilt meme']",0.14,0.46,True,263.6,0.83,I hope to make better choices,guilt
U_THIRD080,2025-06-13 05:12:00,96.1,late_night,5.1,3.0,0.76,"['disappointing moment', 'bad ending', 'guilt meme']",0.1,0.63,True,469.7,0.84,I hope to make better choices,guilt
U_THIRD081,2025-06-13 14:50:00,11.5,afternoon,64.7,1.4,0.09,"['dark theory', 'emergency warning', 'stressful scene']",0.29,0.21,True,373.3,0.52,I feel overwhelmed by bad content,anxious
U_THIRD082,2025-06-13 18:35:00,87.1,night,68.3,3.3,-0.18,"['endless scroll', 'FOMO wave', 'habitual checking']",0.33,0.35,False,736.2,0.87,I want to gain control of my scrolling,dependency
U_THIRD083,2025-06-13 21:02:00,55.3,night,51.4,2.5,0.72,"['happy scream', 'motivation win', 'celebration edit']",0.12,0.72,False,260.3,0.85,I deserve to celebrate,reward
U_THIRD084,2025-06-13 05:28:00,14.4,late_night,48.1,2.5,0.18,"['routine doom', 'FOMO wave', 'loop habit']",0.19,0.64,True,169.4,0.71,I want to gain control of my scrolling,dependency
U_THIRD085,2025-06-13 15:57:00,36.1,afternoon,10.8,3.7,-0.87,"['bad ending', 'disappointing moment', 'embarrassing fail']",0.0,0.46,True,279.0,0.87,I hope to make better choices,guilt
U_THIRD086,2025-06-13 05:06:00,89.7,late_night,13.1,0.7,-0.58,"['finally success', 'feel good story', 'motivation win']",0.2,0.79,False,368.7,0.64,I want to reward myself with positivity,reward
U_THIRD087,2025-06-13 02:11:00,98.3,late_night,26.3,1.4,0.42,"['horror edit', 'paranoia news', 'breaking alert']",0.21,0.29,False,188.4,0.69,I want to slow down my mind,anxious
U_THIRD088,2025-06-13 16:33:00,90.3,afternoon,35.3,1.9,-0.11,"['feel good story', 'finally success', 'goal achieved']",0.32,0.66,True,226.8,0.59,I want to reward myself with positivity,reward
U_THIRD089,2025-06-13 07:47:00,76.9,morning,47.3,1.7,0.79,"['wifi need', 'endless scroll', 'daily addiction']",0.03,0.43,False,182.2,0.7,I want to gain control of my scrolling,dependency
U_THIRD090,2025-06-13 16:02:00,73.9,afternoon,63.4,2.8,0.68,"['celebration edit', 'goal achieved', 'finally success']",0.06,0.19,False,214.3,0.75,I want to reward myself with positivity,reward
U_THIRD091,2025-06-13 01:29:00,38.1,late_night,54.7,1.3,0.62,"['heavy brain', 'overstim edit', 'sleep vlog']",0.14,0.26,True,299.2,0.55,I feel drained and need space,exhaustion
U_THIRD092,2025-06-13 03:33:00,34.4,late_night,18.8,0.5,-0.73,"['wifi need', 'habitual checking', 'daily addiction']",0.39,0.76,False,239.6,0.52,I want to reduce my reliance on content,dependency
U_THIRD093,2025-06-13 02:35:00,94.0,late_night,15.6,0.9,-0.13,"['responsibility talk', 'regret stories', 'embarrassing fail']",0.0,0.75,False,440.1,0.81,I want to turn regret into action,guilt
U_THIRD094,2025-06-13 21:29:00,71.0,night,23.5,2.5,0.99,"['work burnout', 'zoning out', 'overstim edit']",0.05,0.37,False,747.4,0.54,I need more mental rest,exhaustion
